season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won,pred
1985,3779,9663,0,-1,3,58,55,1,0.11058493
1985,5929,9847,0,8,13,86,73,1,0.17721602
1985,9167,9847,0,5,-4,75,79,0,0.15996231
1985,73,9884,0,-5,4,63,59,1,0.12311103
1985,4907,9884,0,-13,-16,65,81,0,0.13914768
1985,2082,10020,0,-1,-2,49,51,0,0.14382662
1985,3132,10020,0,7,-2,64,66,0,0.17008436
1985,4941,10020,0,3,-3,43,46,0,0.14140327
1985,5077,10020,0,6,-7,45,52,0,0.20322526
1985,5212,10020,0,7,-4,55,59,0,0.1554409
1985,6281,10020,0,6,-12,44,56,0,0.17136398
1985,8746,10088,0,1,3,60,57,1,0.11948924
1985,4264,10366,0,-7,8,66,58,1,0.11575107
1985,3166,10564,0,5,8,67,59,1,0.14370634
1986,5213,40,0,13,6,70,64,1,0.16333924
1986,3746,74,0,1,-2,56,58,0,0.14218342
1986,4265,74,0,4,5,68,63,1,0.15004435
1986,10787,74,0,-7,-17,80,97,0,0.1465483
1986,514,289,0,1,10,73,63,1,0.13717103
1986,5930,357,0,8,14,80,66,1,0.12600768
1986,6543,357,0,11,-7,83,90,0,0.12607192
1986,289,514,0,-1,-10,63,73,0,0.11996797
1986,4597,514,0,6,8,84,76,1,0.10575619
1986,8406,514,0,7,-16,65,81,0,0.11604595
1986,9630,514,0,4,-7,63,70,0,0.11487608
1986,5078,589,0,11,32,95,63,1,0.16121978
1986,4597,867,0,5,14,82,68,1,0.09008259
1986,9848,867,0,-3,-18,65,83,0,0.12186906
1986,8663,909,0,13,49,101,52,1,0.1497122
1986,3819,1551,0,11,-4,79,83,0,0.12881723
1986,5851,1551,0,7,1,71,70,1,0.13242127
1986,8440,1551,0,8,-6,69,75,0,0.13852818
1986,4265,2049,0,15,20,75,55,1,0.14693591
1986,2341,2205,0,11,7,74,67,1,0.20425478
1986,6665,2205,0,8,-5,69,74,0,0.18417008
1986,10055,2205,0,7,-4,68,72,0,0.16388188
1986,4597,2307,0,13,20,93,73,1,0.15705134
1986,2205,2341,0,-11,-7,67,74,0,0.04934495
1986,4150,2341,0,0,-4,67,71,0,0.075309865
1986,4597,2341,0,-1,3,72,69,1,0.059183963
1986,5652,2341,0,-15,-7,78,85,0,0.09372257
1986,5851,2341,0,-6,-21,50,71,0,0.10369919
1986,6733,2341,0,-7,-28,61,89,0,0.06543685
1986,3746,2710,0,9,24,75,51,1,0.116218135
1986,5247,3133,0,-1,12,80,68,1,0.16740301
1986,8985,3133,0,-9,-6,64,70,0,0.15962595
1986,4733,3235,0,-9,6,70,64,1,0.07635315
1986,4840,3235,0,-13,-15,53,68,0,0.070167705
1986,10021,3235,0,-8,-5,61,66,0,0.0796387
1986,74,3746,0,-1,2,58,56,1,0.12358803
1986,2710,3746,0,-9,-24,51,75,0,0.14352998
1986,1551,3819,0,-11,4,83,79,1,0.11611657
1986,5930,3921,0,5,2,66,64,1,0.14876105
1986,5179,3955,0,-3,-2,79,81,0,0.14120403
1986,5213,3955,0,5,-3,69,72,0,0.12172394
1986,5930,3955,0,1,4,70,66,1,0.1169385
1986,8747,4059,0,-1,11,61,50,1,0.13614386
1986,2341,4150,0,0,4,71,67,1,0.17044732
1986,5247,4150,0,-4,-10,86,96,0,0.13506919
1986,5885,4150,0,-15,-25,46,71,0,0.120310314
1986,5930,4150,0,-5,-8,67,75,0,0.12868264
1986,8747,4150,0,-8,-22,43,65,0,0.15339102
1986,74,4265,0,-4,-5,63,68,0,0.11335276
1986,2049,4265,0,-15,-20,55,75,0,0.11574012
1986,4733,4265,0,-10,2,59,57,1,0.106377974
1986,10225,4265,0,-7,-7,64,71,0,0.13311496
1986,514,4597,0,-6,-8,76,84,0,0.1556754
1986,867,4597,0,-5,-14,68,82,0,0.16771308
1986,2307,4597,0,-13,-20,73,93,0,0.11627953
1986,2341,4597,0,1,-3,69,72,0,0.19144395
1986,4733,4597,0,-9,-11,77,88,0,0.12663518
1986,6282,4597,0,-1,-15,79,94,0,0.152213
1986,3235,4733,0,9,-6,64,70,0,0.18218559
1986,4265,4733,0,10,-2,57,59,0,0.15912583
1986,4597,4733,0,9,11,88,77,1,0.14356783
1986,5078,4733,0,8,-2,81,83,0,0.18967745
1986,7202,4733,0,5,-7,87,94,0,0.17915219
1986,3235,4840,0,13,15,68,53,1,0.19023931
1986,6967,4942,0,-7,-5,64,69,0,0.18500103
1986,9630,4942,0,1,6,70,64,1,0.16048172
1986,589,5078,0,-11,-32,63,95,0,0.08845458
1986,4733,5078,0,-8,2,83,81,1,0.06659843
1986,3955,5179,0,3,2,81,79,1,0.107114285
1986,40,5213,0,-13,-6,64,70,0,0.10051671
1986,3955,5213,0,-5,3,72,69,1,0.13247822
1986,3133,5247,0,1,-12,68,80,0,0.09654061
1986,4150,5247,0,4,10,96,86,1,0.12137373
1986,10367,5247,0,-7,-2,70,72,0,0.10047906
1986,9270,5383,0,5,2,66,64,1,0.14661667
1986,8406,5548,0,15,9,83,74,1,0.12969787
1986,2341,5652,0,15,7,85,78,1,0.14647318
1986,1551,5851,0,-7,-1,70,71,0,0.11142394
1986,2341,5851,0,6,21,71,50,1,0.13348317
1986,8663,5851,0,5,-12,85,97,0,0.122759104
1986,9168,5851,0,-3,-19,68,87,0,0.06883893
1986,4150,5885,0,15,25,71,46,1,0.14059044
1986,357,5930,0,-8,-14,66,80,0,0.13174373
1986,3921,5930,0,-5,-2,64,66,0,0.11426862
1986,3955,5930,0,-1,-4,66,70,0,0.13870908
1986,4150,5930,0,5,8,75,67,1,0.1296893
1986,10225,5979,0,1,8,67,59,1,0.13479851
1986,4597,6282,0,1,15,94,79,1,0.110264376
1986,9270,6282,0,-3,-18,59,77,0,0.10719259
1986,9766,6282,0,-11,-12,72,84,0,0.13761654
1986,6665,6373,0,9,6,80,74,1,0.16283455
1986,357,6543,0,-11,7,90,83,1,0.13166009
1986,2205,6665,0,-8,5,74,69,1,0.07549611
1986,6373,6665,0,-9,-6,74,80,0,0.09188229
1986,2341,6733,0,7,28,89,61,1,0.18330242
1986,10469,6733,0,-1,-8,64,72,0,0.13164651
1986,4942,6967,0,7,5,69,64,1,0.07684949
1986,4733,7202,0,-5,7,94,87,1,0.08030279
1986,8440,7358,0,5,1,60,59,1,0.17571804
1986,514,8406,0,-7,16,81,65,1,0.14227769
1986,5548,8406,0,-15,-9,74,83,0,0.13179268
1986,1551,8440,0,-8,6,75,69,1,0.10347247
1986,7358,8440,0,-5,-1,59,60,0,0.07490979
1986,909,8663,0,-13,-49,52,101,0,0.09696178
1986,5851,8663,0,-5,12,97,85,1,0.117662385
1986,4059,8747,0,1,-11,50,61,0,0.11076413
1986,4150,8747,0,8,22,65,43,1,0.09751792
1986,3133,8985,0,9,6,70,64,1,0.106666684
1986,5851,9168,0,3,19,87,68,1,0.18786882
1986,5383,9270,0,-5,-2,64,66,0,0.125934
1986,6282,9270,0,3,18,77,59,1,0.1562126
1986,9630,9471,0,9,23,74,51,1,0.15641126
1986,514,9630,0,-4,7,70,63,1,0.14380091
1986,4942,9630,0,-1,-6,64,70,0,0.10877472
1986,9471,9630,0,-9,-23,51,74,0,0.111900926
1986,6282,9766,0,11,12,84,72,1,0.11659928
1986,867,9848,0,3,18,83,65,1,0.12632573
1986,3235,10021,0,8,5,66,61,1,0.17790768
1986,10089,10021,0,3,-9,62,71,0,0.14204271
1986,2205,10055,0,-7,4,72,68,1,0.10191223
1986,10021,10089,0,-3,9,71,62,1,0.12633646
1986,4265,10225,0,7,7,71,64,1,0.1243131
1986,5979,10225,0,-1,-8,59,67,0,0.1230201
1986,5247,10367,0,7,2,72,70,1,0.16227499
1986,6733,10469,0,1,8,72,64,1,0.13269511
1986,74,10787,0,7,17,97,80,1,0.11790477
1987,5886,75,0,-13,-17,71,88,0,0.117972285
1987,6150,75,0,-5,-25,76,101,0,0.15752386
1987,7169,75,0,-4,21,103,82,1,0.14415891
1987,9849,290,0,3,7,98,91,1,0.10022849
1987,3820,515,0,7,17,107,90,1,0.117346406
1987,7661,515,0,-1,-1,61,62,0,0.12719743
1987,3747,556,0,11,-1,67,68,0,0.11596235
1987,7169,556,0,8,3,90,87,1,0.15810592
1987,3134,954,0,15,22,75,53,1,0.12304357
1987,6150,1049,0,3,4,83,79,1,0.14681908
1987,9404,1083,0,9,19,92,73,1,0.15680037
1987,5447,1518,0,-9,5,65,60,1,0.13602337
1987,4564,2206,0,-11,-14,62,76,0,0.13059163
1987,4734,2206,0,-7,5,63,58,1,0.08743411
1987,8407,2206,0,-3,-8,75,83,0,0.10375533
1987,3820,2342,0,4,6,88,82,1,0.13045558
1987,8918,2342,0,-7,-7,51,58,0,0.14146784
1987,10788,2342,0,-8,-5,60,65,0,0.11607552
1987,3820,2711,0,15,34,92,58,1,0.14480536
1987,5931,2781,0,-5,-12,70,82,0,0.12036757
1987,7203,2781,0,3,-19,66,85,0,0.107245885
1987,8664,2781,0,4,6,87,81,1,0.12356663
1987,8664,3050,0,13,6,79,73,1,0.17002413
1987,954,3134,0,-15,-22,53,75,0,0.120698676
1987,4151,3134,0,-4,-13,57,70,0,0.07024184
1987,6631,3134,0,-8,-3,79,82,0,0.069343224
1987,7169,3134,0,-5,15,88,73,1,0.11997266
1987,4185,3168,0,-1,3,82,79,1,0.15108952
1987,4734,3236,0,-3,6,85,79,1,0.1416553
1987,4151,3561,0,7,11,66,55,1,0.13552986
1987,9631,3679,0,15,25,95,70,1,0.18493713
1987,556,3747,0,-11,1,68,67,1,0.14957441
1987,515,3820,0,-7,-17,90,107,0,0.14129147
1987,2342,3820,0,-4,-6,82,88,0,0.13122332
1987,2711,3820,0,-15,-34,58,92,0,0.12020236
1987,4734,3820,0,-9,-1,76,77,0,0.11277648
1987,8664,3820,0,-1,-1,73,74,0,0.15242316
1987,9631,3820,0,0,-4,93,97,0,0.15478553
1987,6666,3922,0,-4,-2,91,93,0,0.120104045
1987,7830,3922,0,-13,-23,76,99,0,0.09138371
1987,9631,3922,0,1,3,84,81,1,0.11996733
1987,9849,3922,0,-5,-2,82,84,0,0.08932795
1987,3134,4151,0,4,13,70,57,1,0.18874058
1987,3561,4151,0,-7,-11,55,66,0,0.13859786
1987,5447,4151,0,-8,-4,63,67,0,0.17783612
1987,3168,4185,0,1,-3,79,82,0,0.107637934
1987,9631,4185,0,8,19,80,61,1,0.1359187
1987,6631,4266,0,-1,14,91,77,1,0.10386217
1987,2206,4564,0,11,14,76,62,1,0.117744714
1987,2206,4734,0,7,-5,58,63,0,0.17393771
1987,3236,4734,0,3,-6,79,85,0,0.13229457
1987,3820,4734,0,9,1,77,76,1,0.15447417
1987,8748,4734,0,8,-10,62,72,0,0.19232337
1987,7002,4841,0,11,25,93,68,1,0.13305056
1987,8714,4909,0,9,16,76,60,1,0.16322637
1987,5852,5214,0,1,-15,82,97,0,0.13721134
1987,6283,5214,0,8,12,109,97,1,0.12974676
1987,10788,5384,0,-9,1,70,69,1,0.08368994
1987,1518,5447,0,9,-5,60,65,0,0.11655309
1987,4151,5447,0,8,4,67,63,1,0.084439926
1987,6544,5717,0,7,13,84,71,1,0.09887402
1987,5214,5852,0,-1,15,97,82,1,0.11634237
1987,75,5886,0,13,17,88,71,1,0.13950941
1987,2781,5931,0,5,12,82,70,1,0.12918025
1987,75,6150,0,5,25,101,76,1,0.08801153
1987,1049,6150,0,-3,-4,79,83,0,0.09623304
1987,5214,6283,0,-8,-12,97,109,0,0.12606156
1987,6544,6283,0,-4,-6,68,74,0,0.11167238
1987,6900,6283,0,-15,-31,82,113,0,0.1134382
1987,8664,6283,0,-1,4,79,75,1,0.1385105
1987,7203,6374,0,11,9,104,95,1,0.11799673
1987,5717,6544,0,-7,-13,71,84,0,0.15831155
1987,6283,6544,0,4,6,74,68,1,0.14848211
1987,8714,6544,0,1,-1,57,58,0,0.15985005
1987,3134,6631,0,8,3,82,79,1,0.18991062
1987,4266,6631,0,1,-14,77,91,0,0.16339926
1987,3922,6666,0,4,2,93,91,1,0.12633973
1987,7002,6666,0,3,-3,93,96,0,0.122616574
1987,9169,6666,0,-5,-5,69,74,0,0.10540207
1987,6283,6900,0,15,31,113,82,1,0.14618294
1987,4841,7002,0,-11,-25,68,93,0,0.1169382
1987,6666,7002,0,-3,3,96,93,1,0.12495175
1987,75,7169,0,4,-21,82,103,0,0.10541326
1987,556,7169,0,-8,-3,87,90,0,0.09470164
1987,3134,7169,0,5,-15,73,88,0,0.12398887
1987,8664,7169,0,4,14,77,63,1,0.115154006
1987,9271,7169,0,-5,-22,68,90,0,0.096691705
1987,2781,7203,0,-3,19,85,66,1,0.14626527
1987,6374,7203,0,-11,-9,95,104,0,0.13800837
1987,515,7661,0,1,1,62,61,1,0.12846501
1987,3922,7830,0,13,23,99,76,1,0.16373487
1987,8748,8241,0,13,19,75,56,1,0.18500048
1987,2206,8407,0,3,8,83,75,1,0.15268676
1987,10566,8407,0,-5,-2,55,57,0,0.14541107
1987,2781,8664,0,-4,-6,81,87,0,0.12501496
1987,3050,8664,0,-13,-6,73,79,0,0.08933451
1987,3820,8664,0,1,1,74,73,1,0.10285246
1987,6283,8664,0,1,-4,75,79,0,0.113537714
1987,7169,8664,0,-4,-14,63,77,0,0.13147604
1987,10226,8664,0,-8,-18,86,104,0,0.08790222
1987,4909,8714,0,-9,-16,60,76,0,0.094277754
1987,6544,8714,0,-1,1,58,57,1,0.09687084
1987,4734,8748,0,-8,10,72,62,1,0.06349517
1987,8241,8748,0,-13,-19,56,75,0,0.06911931
1987,2342,8918,0,7,7,58,51,1,0.11688489
1987,6666,9169,0,5,5,74,69,1,0.14736581
1987,7169,9271,0,5,22,90,68,1,0.15551476
1987,1083,9404,0,-9,-19,73,92,0,0.1072593
1987,10754,9404,0,-8,10,78,68,1,0.115296245
1987,3679,9631,0,-15,-25,70,95,0,0.07661942
1987,3820,9631,0,0,4,97,93,1,0.09977655
1987,3922,9631,0,-1,-3,81,84,0,0.12651774
1987,4185,9631,0,-8,-19,61,80,0,0.11426671
1987,10754,9631,0,-11,-14,78,92,0,0.093278885
1987,290,9849,0,-3,-7,91,98,0,0.15803969
1987,3922,9849,0,5,2,84,82,1,0.16641156
1987,10754,10056,0,-7,4,64,60,1,0.09578599
1987,8664,10226,0,8,18,104,86,1,0.17188904
1987,10470,10226,0,3,-2,62,64,0,0.13404733
1987,10226,10470,0,-3,2,64,62,1,0.13717377
1987,8407,10566,0,5,2,57,55,1,0.11322858
1987,9404,10754,0,8,-10,68,78,0,0.14633593
1987,9631,10754,0,11,14,92,78,1,0.16324578
1987,10056,10754,0,7,-4,60,64,0,0.16132025
1987,2342,10788,0,8,5,65,60,1,0.1499468
1987,5384,10788,0,9,-1,69,70,0,0.17481966
1988,1849,291,0,-15,-40,50,90,0,0.07992209
1988,3923,291,0,-4,-20,79,99,0,0.10226643
1988,6284,291,0,-1,-18,52,70,0,0.10246526
1988,6667,291,0,0,8,86,78,1,0.12171593
1988,7962,291,0,-7,-29,55,84,0,0.05781199
1988,10023,413,0,5,8,82,74,1,0.11422081
1988,869,516,0,-1,-4,86,90,0,0.14587404
1988,6667,516,0,7,20,107,87,1,0.1970237
1988,5080,625,0,-1,15,75,60,1,0.16442017
1988,5215,733,0,11,5,63,58,1,0.1507458
1988,2343,801,0,13,16,85,69,1,0.071302675
1988,516,869,0,1,4,90,86,1,0.124207094
1988,1349,1050,0,-9,-6,92,98,0,0.07367898
1988,4599,1050,0,-1,21,97,76,1,0.061292425
1988,1050,1349,0,9,6,98,92,1,0.18054092
1988,6667,1383,0,15,28,94,66,1,0.17133765
1988,291,1849,0,15,40,90,50,1,0.16986352
1988,4186,2207,0,1,8,66,58,1,0.15355304
1988,10567,2207,0,-7,-21,62,83,0,0.122610115
1988,801,2343,0,-13,-16,69,85,0,0.18319312
1988,4152,2343,0,-4,7,66,59,1,0.15604348
1988,7292,2343,0,-9,-1,72,73,0,0.14585625
1988,8062,2343,0,-5,-15,79,94,0,0.18492779
1988,8749,2343,0,1,-10,53,63,0,0.19399306
1988,7003,2479,0,13,18,108,90,1,0.10976218
1988,7204,2678,0,15,15,94,79,1,0.13817462
1988,5215,2782,0,3,23,108,85,1,0.13983226
1988,8408,2782,0,-5,-3,59,62,0,0.11817638
1988,3923,2881,0,7,4,102,98,1,0.14725414
1988,4735,3135,0,-1,-3,63,66,0,0.12289011
1988,8749,3135,0,7,21,74,53,1,0.1727665
1988,3957,3237,0,-7,-12,78,90,0,0.11453384
1988,7360,3237,0,-8,4,59,55,1,0.13242787
1988,9734,3748,0,-11,-9,72,81,0,0.11239244
1988,10023,3748,0,-3,3,66,63,1,0.10805443
1988,7360,3821,0,-9,3,72,69,1,0.14360444
1988,291,3923,0,4,20,99,79,1,0.14077021
1988,2881,3923,0,-7,-4,98,102,0,0.1062186
1988,9632,3923,0,1,-18,86,104,0,0.12573618
1988,3237,3957,0,7,12,90,78,1,0.14830817
1988,2343,4152,0,4,-7,59,66,0,0.10665268
1988,4186,4152,0,2,-13,58,71,0,0.14800748
1988,5752,4152,0,-8,-3,58,61,0,0.11367193
1988,6667,4152,0,5,-4,79,83,0,0.16101098
1988,9955,4152,0,-1,-13,64,77,0,0.11208812
1988,10789,4152,0,-5,-13,72,85,0,0.1335237
1988,2207,4186,0,-1,-8,58,66,0,0.0979386
1988,4152,4186,0,-2,13,71,58,1,0.102197714
1988,4301,4186,0,-9,-13,53,66,0,0.082805105
1988,7204,4186,0,3,-3,70,73,0,0.11569323
1988,4944,4267,0,-5,-9,81,90,0,0.112879984
1988,8242,4267,0,-13,-15,84,99,0,0.099526726
1988,10023,4267,0,-4,6,80,74,1,0.11313033
1988,4186,4301,0,9,13,66,53,1,0.17325751
1988,8749,4403,0,15,14,87,73,1,0.17218198
1988,1050,4599,0,1,-21,76,97,0,0.19666877
1988,6667,4599,0,4,10,108,98,1,0.20305774
1988,6833,4599,0,-7,-9,61,70,0,0.14791904
1988,6284,4633,0,8,26,123,97,1,0.14725141
1988,10755,4633,0,3,-4,115,119,0,0.121611014
1988,3135,4735,0,1,3,66,63,1,0.13848442
1988,4267,4944,0,5,9,90,81,1,0.14216416
1988,7797,4944,0,-3,-10,82,92,0,0.12325736
1988,625,5080,0,1,-15,60,75,0,0.09952289
1988,7204,5080,0,8,27,100,73,1,0.13990569
1988,733,5215,0,-11,-5,58,63,0,0.10089136
1988,2782,5215,0,-3,-23,85,108,0,0.10927322
1988,6284,5215,0,1,9,78,69,1,0.11779274
1988,7292,5385,0,-5,7,87,80,1,0.1411089
1988,9632,5448,0,9,4,54,50,1,0.13937342
1988,4152,5752,0,8,3,61,58,1,0.14690411
1988,5932,5752,0,11,-3,75,78,0,0.123236045
1988,8665,5887,0,11,14,69,55,1,0.12635095
1988,5752,5932,0,-11,3,78,75,1,0.14448878
1988,291,6284,0,1,18,70,52,1,0.14051133
1988,4633,6284,0,-8,-26,97,123,0,0.106114514
1988,5215,6284,0,-1,-9,69,78,0,0.12873946
1988,6341,6284,0,-13,-18,65,83,0,0.11283569
1988,6284,6341,0,13,18,83,65,1,0.13850015
1988,8062,6545,0,3,8,83,75,1,0.16918373
1988,291,6667,0,0,-8,78,86,0,0.115446106
1988,516,6667,0,-7,-20,87,107,0,0.05760798
1988,1383,6667,0,-15,-28,66,94,0,0.07733546
1988,4152,6667,0,-5,4,83,79,1,0.08526659
1988,4599,6667,0,-4,-10,98,108,0,0.052973703
1988,10023,6667,0,-5,-19,59,78,0,0.081095934
1988,4599,6833,0,7,9,70,61,1,0.1247667
1988,2479,7003,0,-13,-18,90,108,0,0.14730765
1988,9955,7003,0,-5,6,80,74,1,0.124546915
1988,2678,7204,0,-15,-15,79,94,0,0.113169506
1988,4186,7204,0,-3,3,73,70,1,0.13043573
1988,5080,7204,0,-8,-27,73,100,0,0.11184
1988,2343,7292,0,9,1,73,72,1,0.11991691
1988,5385,7292,0,5,-7,80,87,0,0.12356298
1988,8665,7292,0,8,-3,94,97,0,0.1614656
1988,3237,7360,0,8,-4,55,59,0,0.12500936
1988,3821,7360,0,9,-3,69,72,0,0.11642549
1988,8749,7360,0,12,22,69,47,1,0.16659227
1988,4944,7797,0,3,10,92,82,1,0.13749745
1988,291,7962,0,7,29,84,55,1,0.19865185
1988,9850,7962,0,-1,-16,64,80,0,0.14308189
1988,2343,8062,0,5,15,94,79,1,0.06904404
1988,6545,8062,0,-3,-8,75,83,0,0.08113584
1988,4267,8242,0,13,15,99,84,1,0.15955068
1988,2782,8408,0,5,3,62,59,1,0.13747011
1988,5887,8665,0,-11,-14,55,69,0,0.118726894
1988,7292,8665,0,-8,3,97,94,1,0.09175802
1988,2343,8749,0,-1,10,63,53,1,0.057240658
1988,3135,8749,0,-7,-21,53,74,0,0.073543146
1988,4403,8749,0,-15,-14,73,87,0,0.07399208
1988,7360,8749,0,-12,-22,47,69,0,0.07828511
1988,3923,9632,0,-1,18,104,86,1,0.1218414
1988,5448,9632,0,-9,-4,50,54,0,0.11136767
1988,3748,9734,0,11,9,81,72,1,0.14008832
1988,9955,9802,0,3,3,80,77,1,0.103762195
1988,7962,9850,0,1,16,80,64,1,0.1301665
1988,4152,9955,0,1,13,77,64,1,0.1489663
1988,7003,9955,0,5,-6,74,80,0,0.13939765
1988,9802,9955,0,-3,-3,77,80,0,0.1553608
1988,413,10023,0,-5,-8,74,82,0,0.14100067
1988,3748,10023,0,3,-3,63,66,0,0.1457366
1988,4267,10023,0,4,-6,74,80,0,0.1418382
1988,6667,10023,0,5,19,78,59,1,0.16644135
